,hour,dif_tide_height,current_dir,water_temp,current_speed,wind_speed,wind_dir,cluster
43,0.8333333333333334,0.021276595744680854,0.5721296297222221,0.2618591633063816,0.4547770698990408,0.2358490566037736,0.6775,20
90,0.7916666666666666,0.08936170212765958,0.5787962963888889,0.29655273999603793,0.3440239789471819,0.05660377358490566,0.6436111111111111,20
298,0.6666666666666666,0.03829787234042553,0.07168981480555556,0.3435658516038793,0.4454852003177399,0.03773584905660378,0.0,4
348,0.75,0.03404255319148936,0.1018981481388889,0.39378314684554616,0.32184338694190723,0.3207547169811321,0.03583333333333333,4
349,0.7916666666666666,0.05106382978723405,0.07516203702777778,0.3767678254645752,0.2209067065678184,0.2358490566037736,0.01888888888888889,4
369,0.625,0.05531914893617021,0.4976157408333333,0.3522944906017369,0.2420382164902334,0.2169811320754717,0.8877777777777779,23
371,0.7083333333333334,0.0723404255319149,0.16479166666666667,0.4096935770211236,0.27703259642718525,0.22641509433962265,0.9130555555555556,26
396,0.75,0.03829787234042553,0.15761574074999998,0.4274270773209865,0.2811539901764059,0.0660377358490566,0.8022222222222223,26
468,0.75,0.021276595744680854,0.5019675925,0.4493039188124055,0.25380292233905105,0.339622641509434,0.8380555555555556,6
491,0.7083333333333334,0.046808510638297884,0.5533333333333333,0.4691919565318776,0.3282877481538941,0.16037735849056606,0.9980555555555556,10
493,0.7916666666666666,0.029787234042553193,0.5348148147222223,0.4384759873861155,0.1814911951822237,0.2924528301886793,0.12027777777777778,14
534,0.5,0.042553191489361715,0.10629629630555557,0.4061026811007966,0.32221805913362594,0.2641509433962264,0.8105555555555556,26
538,0.6666666666666666,0.06382978723404256,0.6293287036111112,0.4243333823436459,0.04443611838594815,0.3962264150943397,0.6583333333333333,6
539,0.7083333333333334,0.06808510638297872,0.5802777777777778,0.4276480552968913,0.19160734354933728,0.3490566037735849,0.6547222222222222,6
540,0.75,0.05106382978723405,0.5728009258333334,0.4242781380154033,0.28250280995868776,0.339622641509434,0.6583333333333333,6
