hour,current_dir,wave_height,water_temp,dif_tide_height,tide_variation,drifting,prediction,cluster,p(s|pred),p(drifting),p(~drifting),p(pred|drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.065231481,0.354252199,0.174738509,0.029787234,0.070254111,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.066666667,0.343108504,0.166672805,0.055319149,0.121076233,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.125,0.107685185,0.382404692,0.16479449,0.080851064,0.477578475,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.166666667,0.529652778,0.361876833,0.167501473,0.093617021,0.247384155,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.208333333,0.667453704,0.298533725,0.167832941,0.09787234,0.210014948,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.25,0.612638889,0.291495601,0.17341264,0.076595745,0.292974589,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.291666667,0.591157408,0.269794721,0.185511196,0.034042553,0.168161435,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.333333333,0.542407408,0.269208211,0.186947555,0.055319149,0.248878924,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.375,0.502407408,0.250439883,0.188162934,0.076595745,0.266816143,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.416666667,0.419606481,0.305571848,0.186339864,0.080851064,0.323617339,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.458333333,0.226435185,0.347800587,0.199046111,0.076595745,0.49103139,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.5,0.128842593,0.341348974,0.206890837,0.046808511,0.216741405,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.541666667,0.092314815,0.334310851,0.199653801,0.063829787,0.288490284,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.583333333,0.055,0.331378299,0.219265616,0.055319149,0.160687593,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.625,0.091111111,0.284457478,0.236778138,0.072340426,0.452167414,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.666666667,0.240949074,0.240469209,0.244070419,0.072340426,0.188340807,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.708333333,0.589722222,0.207038123,0.237220094,0.089361702,0.432735426,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.75,0.556435185,0.188856305,0.252578079,0.063829787,0.303437967,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.791666667,0.56912037,0.181818182,0.253627725,0.05106383,0.119581465,0,1,8,0.08249497,0.050602979,0.949397021,0.985981308,0.071232877,0.424547284,0.035023015
0.833333333,0.546550926,0.150733138,0.241971126,0.025531915,0.047085202,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.875,0.52025463,0.134897361,0.21992855,0.042553191,0.122571001,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.916666667,0.435439815,0.167741935,0.182969947,0.085106383,0.201046338,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.958333333,0.178449074,0.17829912,0.189599293,0.089361702,0.307174888,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
1,0.101342593,0.197067449,0.205454479,0.114893617,0.491778774,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.041666667,0.074513889,0.217595308,0.180152475,0.046808511,0.234678625,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
0.083333333,0.057060185,0.22111437,0.196946818,0.017021277,0.032137519,0,0,0,0,0.050602979,0.949397021,0.985981308,0.071232877,0,0
