,hour,wave_height,current_speed,tide_height,cluster
43,0.8333333333333334,0.07800586488633568,0.4547770698990408,0.7474307419571046,5
90,0.7916666666666666,0.08973607040228412,0.3440239789471819,0.5571939231233243,2
298,0.6666666666666666,0.07096774171752909,0.4454852003177399,0.06758266306970509,3
348,0.75,0.1847507331811732,0.32184338694190723,0.15382037533512066,3
349,0.7916666666666666,0.1782991200418297,0.2209067065678184,0.2037533512064343,1
369,0.625,0.10205278594769564,0.2420382164902334,0.503239499530831,2
371,0.7083333333333334,0.09560117280835218,0.27703259642718525,0.32182752459785524,1
396,0.75,0.05219941373658637,0.2811539901764059,0.3325513851876676,1
468,0.75,0.2375366569472227,0.25380292233905105,0.6209785522788203,2
491,0.7083333333333334,0.159530792060887,0.3282877481538941,0.642202859919571,2
493,0.7916666666666666,0.11847507310697365,0.1814911951822237,0.6624218049597853,2
534,0.5,0.3143695017746322,0.32221805913362594,0.2478775692359249,3
538,0.6666666666666666,0.2662756596519122,0.04443611838594815,0.4223637176273457,1
539,0.7083333333333334,0.22580645143127426,0.19160734354933728,0.5329535299597854,2
540,0.75,0.19413489717164453,0.28250280995868776,0.6362823947721178,2
559,0.5416666666666666,0.1102639298792408,0.328962158045035,0.16052278820375335,3
560,0.5833333333333334,0.1102639298792408,0.2780816784201236,0.15538427164879354,3
561,0.625,0.11143694993816702,0.16230798044093486,0.20799821266756036,1
562,0.6666666666666666,0.10205278594769564,0.0787560884317591,0.3061885611930295,1
585,0.625,0.03695014663623463,0.274934432261466,0.11047810542895442,3
610,0.6666666666666666,0.08211143720401443,0.2917946795399887,0.10668007151474533,3
611,0.7083333333333334,0.08093841644127586,0.15968527536866775,0.223637176072386,1
612,0.75,0.07507331403520781,0.06878980889637235,0.3752234137399463,1
635,0.7083333333333334,0.258331112084066,0.2866923259409338,0.12086684537533512,3
653,0.4583333333333333,0.181818181626233,0.4884975644560861,0.7058757821715818,5
657,0.625,0.2129032258563996,0.4365339417217237,0.10958445040214476,3
658,0.6666666666666666,0.20762463347979465,0.4637692017809195,0.04211349416890081,3
659,0.7083333333333334,0.19589442796384615,0.3826901460392605,0.07841823056300268,3
660,0.75,0.17947214080456825,0.15339078305135265,0.19526362821715815,1
680,0.625,0.2269794721940128,0.3491467692341286,0.22508936548257366,3
681,0.6666666666666666,0.2363636361844841,0.4668415135372019,0.09361036642091153,3
682,0.7083333333333334,0.22580645143127426,0.468040464424812,0.06680071494638071,3
683,0.75,0.23519061612555794,0.2472836267246889,0.1272341376005362,3
701,0.5,0.19472140790492,0.4328212812807344,0.6853217158176943,5
704,0.625,0.2084244204594544,0.2625770631831538,0.34148793565683644,1
705,0.6666666666666666,0.20117302034045112,0.4217309852331365,0.1831992850536193,3
706,0.7083333333333334,0.20938416427199627,0.5110378417366359,0.09092940127345844,3
725,0.5,0.08328445726294065,0.4221805918272303,0.6588471849865951,5
729,0.6666666666666666,0.124340176216854,0.28160359677049984,0.2960232350536193,1
733,0.8333333333333334,0.12524660061589366,0.1850812356757041,0.2345844504021448,1
774,0.5833333333333334,0.4299120233266656,0.19408017981685394,0.6285746199731902,4
775,0.625,0.5348973608293015,0.2139378043593624,0.6248882928954422,4
776,0.6666666666666666,0.606451613280106,0.15766204569524506,0.5717158176943699,4
777,0.7083333333333334,0.5835777129814846,0.1637317347155132,0.4813449508713137,4
779,0.7916666666666666,0.5853372437736862,0.39932559002073614,0.26686773907506695,4
796,0.5,0.2621700880380458,0.11412514047050835,0.364946380697051,1
801,0.7083333333333334,0.16891495605135834,0.1839640314497404,0.5938337801608577,2
822,0.5833333333333334,0.25043988252209737,0.10168602473054987,0.4130920464477211,1
823,0.625,0.24750733167096955,0.1706257024316727,0.5130697050938337,2
824,0.6666666666666666,0.2545454548397761,0.237991757143388,0.5863494189008042,2
825,0.7083333333333334,0.2228739005801464,0.15301611085963393,0.6214253800268096,2
826,0.75,0.20586510268759295,0.1282877481844674,0.6063449510723861,2
843,0.4583333333333333,0.20410557189539133,0.2867740726025801,0.19247095623324392,3
846,0.5833333333333334,0.15777126126868532,0.07560884227310155,0.3026139410187667,1
