['wind_dir'  'current_dir'],3,{3: 32  2: 2  7: 6  4: 19  5: 10  6: 11  9: 4  8: 5  13: 4  1: 1  15: 1  12: 1  10: 2  16: 2}
['wind_dir'  'wind_speed'],2,{3: 44  2: 47  4: 6  7: 1  5: 2}
['wind_dir'  'current_speed'],2,{1: 3  2: 83  3: 12  4: 1  6: 1}
['wind_dir'  'wave_height'],3,{7: 4  5: 16  3: 42  4: 10  2: 13  8: 3  6: 12}
['wind_dir'  'water_temp'],2,{2: 82  3: 17  9: 1}
['wind_dir'  'tide_height'],2,{2: 40  3: 37  4: 10  5: 3  1: 8  7: 2}
['wind_dir'  'dif_tide_height'],4,{3: 33  4: 38  5: 17  6: 10  7: 2}
['wind_dir'  'tide_variation'],2,{2: 79  3: 14  4: 5  5: 1  6: 1}
['current_dir'  'wind_speed'],2,{2: 88  3: 10  4: 2}
['current_dir'  'current_speed'],2,{2: 78  6: 2  3: 16  4: 3  5: 1}
['current_dir'  'wave_height'],2,{3: 19  2: 77  5: 1  4: 3}
['current_dir'  'water_temp'],2,{2: 73  3: 21  4: 6}
['current_dir'  'tide_height'],2,{2: 96  3: 3  4: 1}
['current_dir'  'dif_tide_height'],2,{2: 97  3: 3}
['current_dir'  'tide_variation'],2,{2: 81  3: 16  4: 2  5: 1}
['wind_speed'  'current_speed'],1,{1: 99  3: 1}
['wind_speed'  'wave_height'],2,{2: 60  3: 39  1: 1}
['wind_speed'  'water_temp'],1,{3: 9  1: 89  2: 2}
['wind_speed'  'tide_height'],2,{3: 18  2: 78  4: 3  1: 1}
['wind_speed'  'dif_tide_height'],2,{2: 66  3: 31  4: 3}
['wind_speed'  'tide_variation'],1,{1: 89  3: 10  2: 1}
['current_speed'  'wave_height'],1,{1: 76  2: 5  3: 19}
['current_speed'  'water_temp'],1,{1: 64  3: 32  2: 3  4: 1}
['current_speed'  'tide_height'],2,{2: 46  3: 41  4: 12  5: 1}
['current_speed'  'dif_tide_height'],2,{2: 73  3: 26  5: 1}
['current_speed'  'tide_variation'],1,{1: 78  2: 14  3: 8}
['wave_height'  'water_temp'],3,{3: 45  2: 18  1: 31  5: 1  4: 5}
['wave_height'  'tide_height'],2,{2: 66  5: 4  3: 23  4: 7}
['wave_height'  'dif_tide_height'],2,{3: 16  2: 84}
['wave_height'  'tide_variation'],1,{1: 38  3: 29  2: 32  4: 1}
['water_temp'  'tide_height'],2,{2: 64  6: 1  3: 28  4: 7}
['water_temp'  'dif_tide_height'],2,{2: 83  3: 17}
['water_temp'  'tide_variation'],1,{1: 81  3: 19}
['tide_height'  'dif_tide_height'],2,{4: 9  3: 42  2: 49}
