hour,wave_height,current_speed,wind_speed,tide_variation,tide_height,drifting,prediction,cluster,p(s|pred),p(pred),p(pred|s),p(pred|drifting),p(drifting),p(~drifting),p(pred|~drifting),p(drifting|pred),p(drifting|pred)*p(s|pred)
0.041666667,0.354252199,0.431772199,0.339622642,0.070254111,0.214180548,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.083333333,0.343108504,0.382090671,0.264150943,0.121076233,0.243632708,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.125,0.382404692,0.21251405,0.528301887,0.477578475,0.290661305,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.166666667,0.361876833,0.064818284,0.339622642,0.247384155,0.405719392,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.208333333,0.298533725,0.099213188,0.41509434,0.210014948,0.50893655,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.25,0.291495601,0.252978644,0.367924528,0.292974589,0.618521001,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.291666667,0.269794721,0.368977145,0.433962264,0.168161435,0.674486148,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.333333333,0.269208211,0.335481454,0.235849057,0.248878924,0.655719392,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.375,0.250439883,0.322967403,0.462264151,0.266816143,0.580205541,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.416666667,0.305571848,0.196178344,0.462264151,0.323617339,0.479892761,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.458333333,0.347800587,0.167103784,0.509433962,0.49103139,0.341823056,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.5,0.341348974,0.317647059,0.5,0.216741405,0.237600536,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.541666667,0.334310851,0.32798801,0.396226415,0.288490284,0.188002681,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.583333333,0.331378299,0.294792057,0.20754717,0.160687593,0.19593387,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.625,0.284457478,0.202322967,0.150943396,0.452167414,0.253798034,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.666666667,0.240469209,0.037766954,0.141509434,0.188340807,0.363827419,0,1,1,0.076690212,0.234334358,0.024790608,0.985981308,0.050602979,0.949397021,0.194271482,0.212916246,0.016328592
0.708333333,0.207038123,0.142300487,0.132075472,0.432735426,0.480563003,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.75,0.188856305,0.278905957,0.103773585,0.303437967,0.605786416,0,1,12,0.057517659,0.234334358,0.018335298,0.985981308,0.050602979,0.949397021,0.194271482,0.212916246,0.012246444
0.791666667,0.181818182,0.400524541,0,0.119581465,0.696045576,0,0,0,0,0,0,0,0,0.949397021,0.194271482,0,0
0.833333333,0.150733138,0.356837767,0.075471698,0.047085202,0.729445934,0,1,5,0.115035318,0.234334358,0.038261252,0.985981308,0.050602979,0.949397021,0.194271482,0.212916246,0.024492888
